mention_uid,suggestion_subtype,addressing_mode,refinement_confidence,refinement_rationale
Hack23/cia#8153:issue_comment:3702579988,Suggestion-Invocation,Talking-to-AI,1,
Hack23/cia#8153:issue_comment:3702699965,Suggestion-Invocation,Talking-to-AI,,
Hack23/cia#8153:issue_comment:3702754595,Suggestion-Invocation,Talking-to-AI,1.0,
Hack23/cia#8153:issue_comment:3702903562,Suggestion-Invocation,Talking-to-AI,,
Hack23/cia#8153:issue_comment:3702927368,Suggestion-StepInstruction,Talking-to-AI,1.0,
Hack23/cia#8153:issue_comment:3702944621,Suggestion-Invocation,Talking-to-AI,1.0,
Hack23/cia#8153:issue_comment:3702965388,Suggestion-Invocation,Talking-to-AI,1.0,
Hexagon/hemulator#214:issue_comment:3702990881,Suggestion-Invocation,Talking-to-AI,1,
Hexagon/hemulator#214:issue_comment:3704239304,Suggestion-Invocation,Talking-to-AI,1.0,
Hexagon/hemulator#214:issue_comment:3704246699,Suggestion-Invocation,Talking-to-AI,1,
Hexagon/hemulator#214:issue_comment:3704260296,Suggestion-Recommendation,Talking-about-AI,1.0,
Hexagon/hemulator#214:issue_comment:3704275587,Suggestion-Invocation,Talking-to-AI,1,
Hexagon/hemulator#214:issue_comment:3704278589,Suggestion-Invocation,Talking-to-AI,,
HungLo2020/MattMC#334:issue_comment:3702934231,Suggestion-Invocation,Talking-to-AI,,
HungLo2020/MattMC#334:issue_comment:3702938526,Suggestion-TaskDelegation,Talking-to-AI,,
HungLo2020/MattMC#334:issue_comment:3702950390,Suggestion-StepInstruction,Talking-to-AI,1,
HungLo2020/MattMC#334:issue_comment:3702955297,Suggestion-Invocation,Talking-to-AI,high,
HungLo2020/MattMC#334:issue_comment:3702963725,Suggestion-TaskDelegation,Talking-to-AI,high,
HungLo2020/MattMC#334:issue_comment:3702973736,Suggestion-Invocation,Talking-to-AI,1.0,
HungLo2020/MattMC#334:issue_comment:3702976703,Suggestion-TaskDelegation,Talking-to-AI,high,
JakeDot/cgeo#137:issue_comment:3702584335,Suggestion-Invocation,Talking-to-AI,1,
JakeDot/cgeo#137:issue_comment:3702624368,Suggestion-TaskDelegation,Talking-to-AI,1,
JakeDot/cgeo#137:issue_comment:3702645812,Suggestion-Invocation,Talking-to-AI,,
JakeDot/cgeo#137:issue_comment:3702964068,Suggestion-Invocation,Talking-to-AI,0.9,
Jayc82/Orion#1:issue_comment:3701729412,Suggestion-Invocation,Talking-to-AI,1.0,
Jayc82/Orion#1:issue_comment:3701733810,Suggestion-Invocation,Talking-to-AI,high,
Jayc82/Orion#1:issue_comment:3701740884,Suggestion-Invocation,Talking-to-AI,1,
Jayc82/Orion#1:issue_comment:3701752111,Suggestion-Invocation,Talking-to-AI,1.0,
Jayc82/Orion#1:issue_comment:3701780311,Suggestion-StepInstruction,Talking-to-AI,1,
Jayc82/Orion#1:issue_comment:3701791516,Suggestion-Invocation,Talking-to-AI,1.0,
Jayc82/Orion#1:issue_comment:3701803316,Suggestion-Invocation,Talking-to-AI,1,
Jayc82/Orion#1:issue_comment:3702953831,Suggestion-Invocation,Talking-to-AI,0.8,
Jayc82/Orion#1:issue_comment:3702955985,Suggestion-TaskDelegation,Talking-to-AI,,
Jayc82/Orion#1:issue_comment:3702967187,Suggestion-Invocation,Talking-to-AI,1.0,
Jayc82/Orion#1:issue_comment:3702973750,Suggestion-Invocation,Talking-to-AI,1.0,
Jayc82/Orion#1:issue_comment:3702976944,Suggestion-Invocation,Talking-to-AI,1.0,
Jayc82/Orion#1:issue_comment:3702992162,Suggestion-Invocation,Talking-to-AI,,
Jayc82/Orion#1:issue_comment:3702995976,Suggestion-Invocation,Talking-to-AI,high,
Jayc82/Orion#1:issue_comment:3703008335,Suggestion-Invocation,Talking-to-AI,1,
Jayc82/Orion#1:issue_comment:3703027461,Suggestion-TaskDelegation,Talking-to-AI,1,
Jayc82/Orion#1:issue_comment:3703052585,Suggestion-Invocation,Talking-to-AI,1,
Jayc82/Orion#1:issue_comment:3703055490,Suggestion-Invocation,Talking-to-AI,1,
Jayc82/Orion#1:issue_comment:3703058621,Suggestion-Invocation,Talking-to-AI,1.0,
Jayc82/Orion#1:issue_comment:3703068158,Suggestion-Invocation,Talking-to-AI,1,
Jayc82/Orion#1:issue_comment:3703074867,Suggestion-Invocation,Talking-to-AI,1,
Jayc82/Orion#1:issue_comment:3703082884,Suggestion-Invocation,Talking-to-AI,1,
Jayc82/Orion#1:issue_comment:3703093544,Suggestion-Invocation,Talking-to-AI,,
Jayc82/Orion#1:issue_comment:3703157049,Suggestion-Invocation,Talking-to-AI,1.0,
Jayc82/Orion#1:issue_comment:3703167022,Suggestion-Invocation,Talking-to-AI,1,
Jayc82/Orion#1:issue_comment:3703183979,Suggestion-Invocation,Talking-to-AI,,
Jayc82/Orion#1:issue_comment:3703209554,Suggestion-Invocation,Talking-to-AI,,
Jayc82/Orion#1:issue_comment:3703215948,Suggestion-Invocation,Talking-to-AI,1,
Jayc82/Orion#1:issue_comment:3703220874,Suggestion-Invocation,Talking-to-AI,1.0,
Jayc82/Orion#1:issue_comment:3703223251,Suggestion-Invocation,Talking-to-AI,1,
Jayc82/Orion#1:issue_comment:3703230325,Suggestion-Invocation,Talking-to-AI,,
Jayc82/Orion#1:issue_comment:3703234476,Suggestion-Invocation,Talking-to-AI,1,
Jayc82/Orion#1:issue_comment:3703239301,Suggestion-Invocation,Talking-to-AI,1,
Jayc82/Orion#1:issue_comment:3704491867,Suggestion-Invocation,Talking-to-AI,1.0,
Jebel-Quant/rhiza-tools#13:issue_comment:3702971294,Suggestion-Invocation,Talking-to-AI,1.0,
JosunLP/api-faker#2:issue_comment:3702981044,Suggestion-Invocation,Talking-to-AI,0.9,
JosunLP/api-faker#2:issue_comment:3703056116,Suggestion-Invocation,Talking-to-AI,,
JosunLP/api-faker#2:issue_comment:3703177771,Suggestion-Invocation,Talking-to-AI,1,
JosunLP/api-faker#2:issue_comment:3703322126,Suggestion-Invocation,Talking-to-AI,1,
JosunLP/api-faker#2:issue_comment:3913381997,Suggestion-Invocation,Talking-to-AI,1,
LachlanBWWright/MERN-Mafia#16:issue_comment:3702112554,Suggestion-Invocation,Talking-to-AI,1,
LachlanBWWright/MERN-Mafia#16:issue_comment:3702935535,Suggestion-StepInstruction,Talking-to-AI,1,
LachlanBWWright/MERN-Mafia#16:issue_comment:3702947561,Suggestion-Invocation,Talking-to-AI,1.0,
LachlanBWWright/MERN-Mafia#16:issue_comment:3702969074,Suggestion-Invocation,Talking-to-AI,,
LachlanBWWright/MERN-Mafia#16:issue_comment:3703057826,Suggestion-Invocation,Talking-to-AI,1.0,
LachlanBWWright/PangeaRSEdit#63:issue_comment:3701755465,Suggestion-Invocation,Talking-to-AI,,
LachlanBWWright/PangeaRSEdit#63:issue_comment:3702016030,Suggestion-Invocation,Talking-to-AI,0.9,
LachlanBWWright/PangeaRSEdit#63:issue_comment:3702122727,Suggestion-Invocation,Talking-to-AI,1.0,
LachlanBWWright/PangeaRSEdit#63:issue_comment:3702937535,Suggestion-Invocation,Talking-to-AI,0.9,
LachlanBWWright/PangeaRSEdit#63:issue_comment:3702987579,Suggestion-TaskDelegation,Talking-to-AI,high,
LachlanBWWright/PangeaRSEdit#63:issue_comment:3703059440,Suggestion-TaskDelegation,Talking-to-AI,1.0,
LachlanBWWright/PangeaRSEdit#63:issue_comment:3703062843,Suggestion-StepInstruction,Talking-to-AI,1,
LexioPK/ExtinctionY#4:issue_comment:3695353024,Suggestion-Invocation,Talking-to-AI,,
LexioPK/ExtinctionY#4:issue_comment:3702954422,Suggestion-Invocation,Talking-to-AI,0.9,
Lonely-Demon/SkyLabs#1:issue_comment:3702989467,Suggestion-TaskDelegation,Mixed,1.0,
LudovicRousseau/CCID#178:issue_comment:3703061440,Suggestion-Invocation,Talking-to-AI,,
M1NDN1NJ4-0RG/RFC-Shared-Agent-Scaffolding#213:issue_comment:3702975194,Suggestion-Invocation,Talking-to-AI,0.8,
M1NDN1NJ4-0RG/RFC-Shared-Agent-Scaffolding#213:issue_comment:3703001935,Suggestion-StepInstruction,Talking-to-AI,1.0,
M1NDN1NJ4-0RG/RFC-Shared-Agent-Scaffolding#213:issue_comment:3703014499,Suggestion-Invocation,Talking-to-AI,1,
Mittenzx/Adastrea#395:issue_comment:3702939147,Suggestion-Invocation,Talking-to-AI,high,
MohamadKhaledAbbas/BreadBagCounterSystem#68:issue_comment:3702703582,Suggestion-Invocation,Talking-to-AI,0.8,
MohamadKhaledAbbas/BreadBagCounterSystem#68:issue_comment:3702731922,Suggestion-Invocation,Talking-to-AI,0.8,
MohamadKhaledAbbas/BreadBagCounterSystem#68:issue_comment:3702766833,Suggestion-Invocation,Talking-to-AI,0.8,
MohamadKhaledAbbas/BreadBagCounterSystem#68:issue_comment:3702782034,Suggestion-Invocation,Talking-to-AI,high,
MohamadKhaledAbbas/BreadBagCounterSystem#68:issue_comment:3702833904,Suggestion-Invocation,Talking-to-AI,high,
MohamadKhaledAbbas/BreadBagCounterSystem#68:issue_comment:3702851604,Suggestion-Invocation,Talking-to-AI,High,
MohamadKhaledAbbas/BreadBagCounterSystem#68:issue_comment:3702912988,Suggestion-Invocation,Talking-to-AI,0.9,
MohamadKhaledAbbas/BreadBagCounterSystem#68:issue_comment:3702928284,Suggestion-Invocation,Talking-to-AI,0.9,
MohamadKhaledAbbas/BreadBagCounterSystem#68:issue_comment:3702944502,Suggestion-Invocation,Talking-to-AI,1.0,
MohamadKhaledAbbas/BreadBagCounterSystem#68:issue_comment:3702989184,Suggestion-Invocation,Talking-to-AI,0.9,
N0SAFE/nextjs-nestjs-turborepo-template#137:issue_comment:3702959860,Suggestion-Invocation,Talking-to-AI,high,
NREL/HPC#827:issue_comment:3702939524,Suggestion-Invocation,Talking-to-AI,1,
NREL/HPC#827:issue_comment:3702951887,Suggestion-Invocation,Talking-to-AI,,
NREL/HPC#827:issue_comment:3702960724,Suggestion-Invocation,Talking-to-AI,0.9,
NREL/HPC#827:issue_comment:3703009222,Suggestion-Invocation,Talking-to-AI,1.0,
NVIDIA-NeMo/Automodel#1002:review:3620698465,Suggestion-Invocation,Talking-to-AI,0.8,
NVIDIA/TensorRT-LLM#10252:issue_comment:3700559009,Suggestion-TaskDelegation,Talking-about-AI,0.9,
NVIDIA/spark-rapids-tools#2011:issue_comment:3702948633,Suggestion-TaskDelegation,Talking-to-AI,,
NVIDIA/spark-rapids-tools#2011:issue_comment:3702957956,Suggestion-Invocation,Talking-to-AI,1.0,
OE5XRX/FW-RemoteStation#20:review_comment:2655929407,Suggestion-Invocation,Talking-to-AI,1.0,
OE5XRX/FW-RemoteStation#20:issue_comment:3702970732,Suggestion-Invocation,Talking-to-AI,1.0,
OE5XRX/FW-RemoteStation#20:issue_comment:3702982960,Suggestion-Invocation,Talking-to-AI,1,
Open-J-Proxy/ojp#196:issue_comment:3697575900,Suggestion-Recommendation,Talking-about-AI,0.8,
Open-J-Proxy/ojp#196:issue_comment:3697585968,Suggestion-Recommendation,Talking-to-AI,,
Open-J-Proxy/ojp#196:issue_comment:3697604571,Suggestion-TaskDelegation,Talking-to-AI,1.0,
Open-J-Proxy/ojp#196:issue_comment:3697648030,Suggestion-StepInstruction,Talking-to-AI,1.0,
Open-J-Proxy/ojp#196:issue_comment:3697661772,Suggestion-Invocation,Talking-to-AI,0.8,
Open-J-Proxy/ojp#196:issue_comment:3697681553,Suggestion-Invocation,Talking-to-AI,1,
Open-J-Proxy/ojp#196:issue_comment:3698591678,Suggestion-StepInstruction,Talking-to-AI,1.0,
Open-J-Proxy/ojp#196:issue_comment:3698619891,Suggestion-StepInstruction,Talking-to-AI,1,
Open-J-Proxy/ojp#196:issue_comment:3698631927,Suggestion-Invocation,Talking-to-AI,1.0,
Open-J-Proxy/ojp#196:issue_comment:3698652895,Suggestion-StepInstruction,Talking-to-AI,1,
Open-J-Proxy/ojp#196:issue_comment:3698672697,Suggestion-TaskDelegation,Talking-to-AI,0.9,
Open-J-Proxy/ojp#196:issue_comment:3698691687,Suggestion-Invocation,Talking-to-AI,1,
Open-J-Proxy/ojp#196:issue_comment:3698715333,Suggestion-Invocation,Talking-to-AI,1.0,
Open-J-Proxy/ojp#196:issue_comment:3698733236,Suggestion-StepInstruction,Talking-to-AI,1.0,
Open-J-Proxy/ojp#196:issue_comment:3698761171,Suggestion-Invocation,Talking-to-AI,0.9,
Open-J-Proxy/ojp#196:issue_comment:3698785077,Suggestion-Invocation,Talking-to-AI,1.0,
Open-J-Proxy/ojp#196:issue_comment:3698819428,Suggestion-Invocation,Talking-to-AI,1,
Open-J-Proxy/ojp#196:issue_comment:3698884276,Suggestion-Invocation,Talking-to-AI,0.8,
Open-J-Proxy/ojp#196:issue_comment:3698911071,Suggestion-Invocation,Talking-to-AI,1.0,
Open-J-Proxy/ojp#196:issue_comment:3698960591,Suggestion-Invocation,Talking-to-AI,1,
Open-J-Proxy/ojp#196:issue_comment:3699243044,Suggestion-Invocation,Talking-to-AI,high,
Open-J-Proxy/ojp#196:issue_comment:3699311850,Suggestion-Invocation,Talking-to-AI,0.5,
Open-J-Proxy/ojp#196:issue_comment:3699539554,Suggestion-Invocation,Talking-to-AI,1,
Open-J-Proxy/ojp#196:issue_comment:3699679291,Suggestion-Invocation,Talking-to-AI,,
Open-J-Proxy/ojp#196:issue_comment:3699834311,Suggestion-Invocation,Talking-to-AI,,
Open-J-Proxy/ojp#196:issue_comment:3699862178,Suggestion-Invocation,Talking-to-AI,1.0,
Open-J-Proxy/ojp#196:issue_comment:3700168862,Suggestion-Invocation,Talking-to-AI,0.9,
Open-J-Proxy/ojp#196:issue_comment:3700206208,Suggestion-Invocation,Talking-to-AI,1,
Open-J-Proxy/ojp#196:issue_comment:3700308239,Suggestion-TaskDelegation,Talking-to-AI,1.0,
Open-J-Proxy/ojp#196:issue_comment:3700338464,Suggestion-TaskDelegation,Talking-to-AI,1,
Open-J-Proxy/ojp#196:issue_comment:3701590360,Suggestion-TaskDelegation,Talking-to-AI,1,
Open-J-Proxy/ojp#196:issue_comment:3701792517,Suggestion-Invocation,Talking-to-AI,1,
Open-J-Proxy/ojp#196:issue_comment:3701826297,Suggestion-TaskDelegation,Talking-to-AI,1.0,
Open-J-Proxy/ojp#196:issue_comment:3701977496,Suggestion-Invocation,Talking-to-AI,1,
Open-J-Proxy/ojp#196:issue_comment:3702113071,Suggestion-Invocation,Talking-to-AI,1.0,
Open-J-Proxy/ojp#196:issue_comment:3702200774,Suggestion-Invocation,Talking-to-AI,1.0,
Open-J-Proxy/ojp#196:issue_comment:3702225710,Suggestion-TaskDelegation,Talking-to-AI,0.9,
Open-J-Proxy/ojp#196:issue_comment:3702251065,Suggestion-Invocation,Talking-to-AI,1,
Open-J-Proxy/ojp#196:issue_comment:3702860412,Suggestion-Invocation,Talking-to-AI,1.0,
Open-J-Proxy/ojp#196:issue_comment:3702995361,Suggestion-TaskDelegation,Talking-to-AI,0.9,
Open-J-Proxy/ojp#196:issue_comment:3703477881,Suggestion-Invocation,Talking-to-AI,1.0,
Open-J-Proxy/ojp#196:issue_comment:3703521609,Suggestion-TaskDelegation,Talking-to-AI,0.9,
Open-J-Proxy/ojp#196:issue_comment:3703544896,Suggestion-Invocation,Talking-to-AI,1.0,
Open-J-Proxy/ojp#196:issue_comment:3704632309,Suggestion-TaskDelegation,Talking-to-AI,1,
Open-J-Proxy/ojp#196:issue_comment:3704939789,Suggestion-Invocation,Talking-to-AI,high,
Open-J-Proxy/ojp#196:issue_comment:3705592911,Suggestion-Invocation,Talking-to-AI,,
Open-J-Proxy/ojp#196:issue_comment:3705609810,Suggestion-TaskDelegation,Talking-to-AI,1,
PriorityLexusVB/AFTERMARKET-MENU#106:issue_comment:3702957657,Suggestion-StepInstruction,Talking-to-AI,0.9,
PriorityLexusVB/AFTERMARKET-MENU#107:issue_comment:3702999940,Suggestion-Invocation,Talking-to-AI,1.0,
PriorityLexusVB/AFTERMARKET-MENU#107:issue_comment:3703033646,Suggestion-Invocation,Talking-to-AI,1.0,
PriorityLexusVB/AFTERMARKET-MENU#107:issue_comment:3703069875,Suggestion-TaskDelegation,Talking-to-AI,1.0,
PriorityLexusVB/rocket_aftermarket_tracker#262:issue_comment:3703051087,Suggestion-Invocation,Talking-to-AI,1.0,
PriorityLexusVB/rocket_aftermarket_tracker#262:issue_comment:3703238773,Suggestion-Invocation,Talking-to-AI,0.9,
RobGibbens/CardGames#184:issue_comment:3702384695,Suggestion-Invocation,Talking-to-AI,1,
RobGibbens/CardGames#184:issue_comment:3702585028,Suggestion-Invocation,Talking-to-AI,1.0,
RobGibbens/CardGames#184:issue_comment:3702631656,Suggestion-Invocation,Talking-to-AI,1,
RobGibbens/CardGames#184:issue_comment:3702675702,Suggestion-Invocation,Talking-to-AI,1,
RobGibbens/CardGames#184:issue_comment:3702688110,Suggestion-Invocation,Talking-to-AI,,
RobGibbens/CardGames#184:issue_comment:3702736640,Suggestion-Invocation,Talking-to-AI,1.0,
RobGibbens/CardGames#184:issue_comment:3702873735,Suggestion-Invocation,Talking-to-AI,,
RobGibbens/CardGames#184:issue_comment:3702959865,Suggestion-Invocation,Talking-to-AI,0.9,
RobGibbens/CardGames#184:issue_comment:3702972295,Suggestion-Invocation,Talking-to-AI,1.0,
RobGibbens/CardGames#184:issue_comment:3702985008,Suggestion-Invocation,Talking-to-AI,1.0,
RobGibbens/CardGames#184:issue_comment:3702986251,Suggestion-Invocation,Talking-to-AI,,
RobGibbens/CardGames#184:issue_comment:3703132822,Suggestion-Invocation,Talking-to-AI,,
SharpMUSH/SharpMUSH#326:issue_comment:3702799351,Suggestion-Invocation,Talking-to-AI,0.9,
SharpMUSH/SharpMUSH#326:issue_comment:3702857911,Suggestion-TaskDelegation,Talking-to-AI,1.0,
SharpMUSH/SharpMUSH#326:issue_comment:3702947761,Suggestion-Invocation,Talking-to-AI,,
SharpMUSH/SharpMUSH#326:issue_comment:3702970610,Suggestion-TaskDelegation,Talking-to-AI,high,
SharpMUSH/SharpMUSH#326:issue_comment:3702981782,Suggestion-Invocation,Talking-to-AI,high,
SharpMUSH/SharpMUSH#326:issue_comment:3702986104,Suggestion-Invocation,Talking-to-AI,,
SharpMUSH/SharpMUSH#326:issue_comment:3702999626,Suggestion-Invocation,Talking-to-AI,low,
SharpMUSH/SharpMUSH#326:issue_comment:3703009455,Suggestion-Invocation,Talking-to-AI,1,
SharpMUSH/SharpMUSH#326:issue_comment:3703053311,Suggestion-Invocation,Talking-to-AI,1.0,
SimulatorLife/prettier-plugin-gml#5612:issue_comment:3703021627,Suggestion-StepInstruction,Talking-to-AI,0.9,
Stage4000/420th#1:issue_comment:3702981000,Suggestion-Invocation,Talking-to-AI,0.8,
Stage4000/420th#1:issue_comment:3702989309,Suggestion-Invocation,Talking-to-AI,high,
Stage4000/420th#1:issue_comment:3703003880,Suggestion-Invocation,Talking-to-AI,1.0,
Stage4000/420th#1:issue_comment:3703042550,Suggestion-Invocation,Talking-to-AI,0.9,
Stage4000/420th#1:issue_comment:3703058845,Suggestion-Invocation,Talking-to-AI,1.0,
Stage4000/420th#1:issue_comment:3703145228,Suggestion-Invocation,Talking-to-AI,,
Stage4000/420th#1:issue_comment:3703155364,Suggestion-Invocation,Talking-to-AI,1.0,
Stage4000/420th#1:issue_comment:3703158912,Suggestion-Invocation,Talking-to-AI,1.0,
Stage4000/420th#1:issue_comment:3703163707,Suggestion-Invocation,Talking-to-AI,1,
Stage4000/420th#1:issue_comment:3703172778,Suggestion-Invocation,Talking-to-AI,1.0,
