mention_uid,repo_name,pr_number,invocation_user_login,invocation_speaker_role,invocation_timing_phase,invocation_body,has_next_human_comment,has_next_bot_comment,latency_to_next_human_comment_hours,n_human_followups_captured,merged,invocation_before_merge,time_to_merge_after_invocation_hours,pr_title,next_human_1_user_login,next_human_1_body,next_human_2_user_login,next_human_2_body,next_human_3_user_login,next_human_3_body,manual_uptake_label,manual_uptake_secondary,manual_uptake_notes
JosunLP/api-faker#2:issue_comment:3703177771,JosunLP/api-faker,2,JosunLP,reviewer,early,@copilot apply changes based on the comments in [this thread](https://github.com/JosunLP/api-faker/pull/2#pullrequestreview-3621573025),True,True,4.077,2,True,True,1149.106,Add installer script and CLI update functionality,JosunLP,@copilot apply changes based on the comments in [this thread](https://github.com/JosunLP/api-faker/pull/2#pullrequestreview-3621624788),JosunLP,@copilot apply changes based on the comments in [this thread](https://github.com/JosunLP/api-faker/pull/2#pullrequestreview-3622815204),,,,,
JosunLP/api-faker#2:issue_comment:3703322126,JosunLP/api-faker,2,JosunLP,reviewer,early,@copilot apply changes based on the comments in [this thread](https://github.com/JosunLP/api-faker/pull/2#pullrequestreview-3621624788),True,True,1131.2,1,True,True,1145.029,Add installer script and CLI update functionality,JosunLP,@copilot apply changes based on the comments in [this thread](https://github.com/JosunLP/api-faker/pull/2#pullrequestreview-3622815204),,,,,,,
franznoel/pang-daily-planner#38:issue_comment:3702969725,franznoel/pang-daily-planner,38,franznoel,other_commenter,early,@copilot Can you test the ThemeRegistry and ApolloWrapper and make sure that it works in src/app/providers.tsx?,True,True,0.859,3,True,True,290.472,"Fix Next.js static export prerendering error, clean up module bundling, and migrate APIs to Firebase Functions",franznoel,"@copilot Can you try fixing this, too? 1) Remove unnecessary ""use client"" from non-React modules Right now you have ""use client"" in modules that are not components/hooks, which can confuse the bundling graph in strict build pipelines. Do this: Remove ""use client"" from lib/apollo-client.ts (it’s a factory/util, not a component) Remove ""use client"" from lib/themes.ts (theme definitions are not React components) Keep ""use client"" only in: app/providers.tsx lib/ApolloWrapper.tsx lib/ThemeRegistry.tsx lib/ThemeContext.tsx lib/AuthContext.tsx 2) Don’t create singletons at module scope for Apollo You already moved toward a makeApolloClient() factory + useMemo in ApolloWrapper. Make sure you are not still importing a default exported singleton anywhere. Your final shape should be: lib/apollo-client.ts exports makeApolloClient() lib/ApolloWrapper.tsx calls it inside useMemo 3) Make sure your theme registry file that exports ThemeId/defaultThemeId/getThemeById is NOT ""use client"" Your pasted lib/themes.ts doesn’t match your imports (ThemeId, defaultThemeId, getThemeById). Wherever those actually live, make that file a plain module (no ""use client""). Only the context/provider files should be client. 4) Confirm you’re not accidentally triggering static export You are using Firebase Hosting frameworksBackend, which runs a framework build and may behave like “export” in logs. That’s okay—but if you also have output: ""export"" or a next export step anywhere, it will break SSR features and can amplify these issues. You showed next.config.ts does not set output: ""export"" (good). 5) Make CI deterministic: use npm ci everywhere In your preview workflow, don’t use npm install. Use: bash npm ci Dependency drift can be the difference between “build passes” and “build crashes”. If you want the fastest confirmation of the exact module causing it Add this temporary step in GitHub Actions right before the build: YAML - name: Debug: show client directives run: | echo ""apollo-client.ts:"" && sed -n '1,20p' lib/apollo-client.ts echo ""themes.ts:"" && sed -n '1,20p' lib/themes.ts If either starts with ""use client"" when it shouldn’t, fix that. If after all that it still fails Then we need the real stack trace, not the “ignore-listed frames”. Do one of these: Run locally with more detail: bash NEXT_TELEMETRY_DISABLED=1 NODE_OPTIONS=""--trace-uncaught"" npm run build Or temporarily set in CI: YAML - run: NODE_OPTIONS=""--trace-uncaught"" npm run build And paste the first ~50 lines of the stack trace that mention your source files. Most likely specific fix for your repo Based on your code and symptoms, the highest-probability fix is: remove ""use client"" from lib/apollo-client.ts and lib/themes*.ts ensure Apollo client is created inside the wrapper (not module scope) use npm ci in CI If you want, paste your current lib/themes file that actually contains ThemeId/defaultThemeId/getThemeById (path + contents), and I’ll show exactly how to refactor it.",franznoel,"@copilot Let's move all of the APIs and convert it - use Firebase Functions, please.",franznoel,"@copilot 1. Create a separate Cloud Function for each endpoint. 2. Yes, update all frontend calls to use the Functions URLs, and keep the /api/chat/* paths as rewrites in firebase.json 3. Add to existing functions setup, create a functions directory - I don't have a functions directory right now. Make sure that SSR will still work. 4. Yes. All OpenAI SDK and Firebase Admin SDK should move to functions package.json. 5. Yes. Keep the Secret Manager approach.",,,
daisytuner/sdfglib#423:issue_comment:3702794918,daisytuner/sdfglib,423,lukastruemper,other_commenter,early,@copilot draft the expansion mechanism and implement it,True,True,0.74,3,True,True,257.938,Add ConvNode compatible with ONNX Conv operator with n-dimensional expansion and custom validation,lukastruemper,@copilot Extend The implementation to n-dimensional convolutions,lukastruemper,@copilot run the clang format command from the workflows to make the code compliant with the expected format for passing the unit tests,lukastruemper,@copilot Debug the test failures,,,
daisytuner/sdfglib#423:issue_comment:3702863889,daisytuner/sdfglib,423,lukastruemper,other_commenter,early,@copilot Extend The implementation to n-dimensional convolutions,True,True,1.242,3,True,True,257.198,Add ConvNode compatible with ONNX Conv operator with n-dimensional expansion and custom validation,lukastruemper,@copilot run the clang format command from the workflows to make the code compliant with the expected format for passing the unit tests,lukastruemper,@copilot Debug the test failures,lukastruemper,@copilot Build with debug build type and check the unit tests again. Validation of nodes is only enabled in debug type,,,
daisytuner/sdfglib#423:issue_comment:3702940966,daisytuner/sdfglib,423,lukastruemper,other_commenter,early,@copilot run the clang format command from the workflows to make the code compliant with the expected format for passing the unit tests,True,True,6.18,3,True,True,255.956,Add ConvNode compatible with ONNX Conv operator with n-dimensional expansion and custom validation,lukastruemper,@copilot Debug the test failures,lukastruemper,@copilot Build with debug build type and check the unit tests again. Validation of nodes is only enabled in debug type,lukastruemper,@copilot Extend the tensor node to account for optional inputs. Optional inputs should only be validated if they are actually present,,,
pradeepmouli/homebridge-rabbitair#10:issue_comment:3702922744,pradeepmouli/homebridge-rabbitair,10,pradeepmouli,reviewer,early,@copilot Please continue,False,True,,0,False,False,,Refactor 001: Migrate test framework from Mocha/Sinon to Vitest,,,,,,,,,
Alan-Jowett/CoPilot-For-Consensus#664:issue_comment:3702938547,Alan-Jowett/CoPilot-For-Consensus,664,Alan-Jowett,other_commenter,late,@copilot there were some changes made in main. Please review those and see if they affect this PR,False,True,,0,True,True,1.337,Fix what-if analysis status reporting in Bicep validation workflow,,,,,,,,,
Alan-Jowett/CoPilot-For-Consensus#665:issue_comment:3702938715,Alan-Jowett/CoPilot-For-Consensus,665,Alan-Jowett,other_commenter,late,@copilot there were some changes made in main. Please review those and see if they affect this PR,False,True,,0,True,True,1.284,security: Remove list permission from Key Vault access policies,,,,,,,,,
Mittenzx/Adastrea#395:issue_comment:3702939147,Mittenzx/Adastrea,395,Mittenzx,other_commenter,middle,@copilot apply changes based on the comments in [this thread](https://github.com/Mittenzx/Adastrea/pull/395#pullrequestreview-3621463047),False,True,,0,True,True,0.412,Fix build errors: add missing method stubs and remove archived system dependencies,,,,,,,,,
githubnext/gh-aw#8355:issue_comment:3702943097,githubnext/gh-aw,8355,pelikhan,other_commenter,late,@copilot make sure to call setupGlobals in inlined script,False,False,,0,True,True,0.117,"Refactor ""Generate workflow overview"" step to separate .cjs module",,,,,,,,,
Open-J-Proxy/ojp#196:issue_comment:3697661772,Open-J-Proxy/ojp,196,rrobetti,other_commenter,early,@copilot implement phase 1,True,True,0.228,3,False,False,,"Add comprehensive XA transaction testing plan with baseline-first approach and Phase 1-9 implementation (Oracle/DB2 PASSING, SQL Server DEBUGGING)",rrobetti,@copilot implement phase 2,rrobetti,@copilot implement phase 3.,rrobetti,@copilot implement phase 4.,,,
Open-J-Proxy/ojp#196:issue_comment:3697681553,Open-J-Proxy/ojp,196,rrobetti,other_commenter,early,@copilot implement phase 2,True,True,9.39,3,False,False,,"Add comprehensive XA transaction testing plan with baseline-first approach and Phase 1-9 implementation (Oracle/DB2 PASSING, SQL Server DEBUGGING)",rrobetti,@copilot implement phase 3.,rrobetti,@copilot implement phase 4.,rrobetti,@copilot implement phase 5,,,
Open-J-Proxy/ojp#196:issue_comment:3698631927,Open-J-Proxy/ojp,196,rrobetti,other_commenter,early,@copilot implement phase 5,True,True,0.2,3,False,False,,"Add comprehensive XA transaction testing plan with baseline-first approach and Phase 1-9 implementation (Oracle/DB2 PASSING, SQL Server DEBUGGING)",rrobetti,@copilot implement phase 6.,rrobetti,"@copilot Complete basic and recovery tests (similar to Phase 3-4 for Oracle),",rrobetti,@copilot implement phase 7,,,
Open-J-Proxy/ojp#196:issue_comment:3698691687,Open-J-Proxy/ojp,196,rrobetti,other_commenter,early,@copilot implement phase 7,True,True,0.158,3,False,False,,"Add comprehensive XA transaction testing plan with baseline-first approach and Phase 1-9 implementation (Oracle/DB2 PASSING, SQL Server DEBUGGING)",rrobetti,@copilot implement phase 8,rrobetti,@copilot implement phase 9.,rrobetti,"@copilot [INFO] ------------------------------------------------------------- Error: COMPILATION ERROR : [INFO] ------------------------------------------------------------- Error: /home/runner/work/ojp/ojp/ojp-jdbc-driver/src/test/java/org/openjproxy/xa/baseline/distributed/TwoPhaseCommitTest.java:[9,40] package org.testcontainers.junit.jupiter does not exist Error: /home/runner/work/ojp/ojp/ojp-jdbc-driver/src/test/java/org/openjproxy/xa/baseline/distributed/TwoPhaseCommitTest.java:[10,40] package org.testcontainers.junit.jupiter does not exist Error: /home/runner/work/ojp/ojp/ojp-jdbc-driver/src/test/java/org/openjproxy/xa/baseline/distributed/TwoPhaseCommitTest.java:[31,2] cannot find symbol symbol: class Testcontainers Error: /home/runner/work/ojp/ojp/ojp-jdbc-driver/src/test/java/org/openjproxy/xa/baseline/distributed/TwoPhaseCommitTest.java:[35,6] cannot find symbol symbol: class Container location: class org.openjproxy.xa.baseline.distributed.TwoPhaseCommitTest Error: /home/runner/work/ojp/ojp/ojp-jdbc-driver/src/test/java/org/openjproxy/xa/baseline/distributed/TwoPhaseCommitTest.java:[38,6] cannot find symbol symbol: class Container location: class org.openjproxy.xa.baseline.distributed.TwoPhaseCommitTest Error: /home/runner/work/ojp/ojp/ojp-jdbc-driver/src/test/java/org/openjproxy/xa/baseline/distributed/TwoPhaseCommitTest.java:[41,6] cannot find symbol symbol: class Container location: class org.openjproxy.xa.baseline.distributed.TwoPhaseCommitTest [INFO] 6 errors",,,
Open-J-Proxy/ojp#196:issue_comment:3698715333,Open-J-Proxy/ojp,196,rrobetti,other_commenter,early,@copilot implement phase 8,True,True,0.117,3,False,False,,"Add comprehensive XA transaction testing plan with baseline-first approach and Phase 1-9 implementation (Oracle/DB2 PASSING, SQL Server DEBUGGING)",rrobetti,@copilot implement phase 9.,rrobetti,"@copilot [INFO] ------------------------------------------------------------- Error: COMPILATION ERROR : [INFO] ------------------------------------------------------------- Error: /home/runner/work/ojp/ojp/ojp-jdbc-driver/src/test/java/org/openjproxy/xa/baseline/distributed/TwoPhaseCommitTest.java:[9,40] package org.testcontainers.junit.jupiter does not exist Error: /home/runner/work/ojp/ojp/ojp-jdbc-driver/src/test/java/org/openjproxy/xa/baseline/distributed/TwoPhaseCommitTest.java:[10,40] package org.testcontainers.junit.jupiter does not exist Error: /home/runner/work/ojp/ojp/ojp-jdbc-driver/src/test/java/org/openjproxy/xa/baseline/distributed/TwoPhaseCommitTest.java:[31,2] cannot find symbol symbol: class Testcontainers Error: /home/runner/work/ojp/ojp/ojp-jdbc-driver/src/test/java/org/openjproxy/xa/baseline/distributed/TwoPhaseCommitTest.java:[35,6] cannot find symbol symbol: class Container location: class org.openjproxy.xa.baseline.distributed.TwoPhaseCommitTest Error: /home/runner/work/ojp/ojp/ojp-jdbc-driver/src/test/java/org/openjproxy/xa/baseline/distributed/TwoPhaseCommitTest.java:[38,6] cannot find symbol symbol: class Container location: class org.openjproxy.xa.baseline.distributed.TwoPhaseCommitTest Error: /home/runner/work/ojp/ojp/ojp-jdbc-driver/src/test/java/org/openjproxy/xa/baseline/distributed/TwoPhaseCommitTest.java:[41,6] cannot find symbol symbol: class Container location: class org.openjproxy.xa.baseline.distributed.TwoPhaseCommitTest [INFO] 6 errors",rrobetti,"@copilot lots of compilation errors, attached. [CompilationErrors.txt](https://github.com/user-attachments/files/24379949/CompilationErrors.txt)",,,
Open-J-Proxy/ojp#196:issue_comment:3698761171,Open-J-Proxy/ojp,196,rrobetti,other_commenter,early,"@copilot [INFO] ------------------------------------------------------------- Error: COMPILATION ERROR : [INFO] ------------------------------------------------------------- Error: /home/runner/work/ojp/ojp/ojp-jdbc-driver/src/test/java/org/openjproxy/xa/baseline/distributed/TwoPhaseCommitTest.java:[9,40] package org.testcontainers.junit.jupiter does not exist Error: /home/runner/work/ojp/ojp/ojp-jdbc-driver/src/test/java/org/openjproxy/xa/baseline/distributed/TwoPhaseCommitTest.java:[10,40] package org.testcontainers.junit.jupiter does not exist Error: /home/runner/work/ojp/ojp/ojp-jdbc-driver/src/test/java/org/openjproxy/xa/baseline/distributed/TwoPhaseCommitTest.java:[31,2] cannot find symbol symbol: class Testcontainers Error: /home/runner/work/ojp/ojp/ojp-jdbc-driver/src/test/java/org/openjproxy/xa/baseline/distributed/TwoPhaseCommitTest.java:[35,6] cannot find symbol symbol: class Container location: class org.openjproxy.xa.baseline.distributed.TwoPhaseCommitTest Error: /home/runner/work/ojp/ojp/ojp-jdbc-driver/src/test/java/org/openjproxy/xa/baseline/distributed/TwoPhaseCommitTest.java:[38,6] cannot find symbol symbol: class Container location: class org.openjproxy.xa.baseline.distributed.TwoPhaseCommitTest Error: /home/runner/work/ojp/ojp/ojp-jdbc-driver/src/test/java/org/openjproxy/xa/baseline/distributed/TwoPhaseCommitTest.java:[41,6] cannot find symbol symbol: class Container location: class org.openjproxy.xa.baseline.distributed.TwoPhaseCommitTest [INFO] 6 errors",True,True,0.12,3,False,False,,"Add comprehensive XA transaction testing plan with baseline-first approach and Phase 1-9 implementation (Oracle/DB2 PASSING, SQL Server DEBUGGING)",rrobetti,"@copilot lots of compilation errors, attached. [CompilationErrors.txt](https://github.com/user-attachments/files/24379949/CompilationErrors.txt)",rrobetti,@copilot are you sure you pushed your latest fixes?,rrobetti,"@copilot [INFO] ------------------------------------------------------------- Warning: COMPILATION WARNING : [INFO] ------------------------------------------------------------- Warning: system modules path not set in conjunction with -source 11 [INFO] 1 warning [INFO] ------------------------------------------------------------- [INFO] ------------------------------------------------------------- Error: COMPILATION ERROR : [INFO] ------------------------------------------------------------- Error: /home/runner/work/ojp/ojp/ojp-jdbc-driver/src/test/java/org/openjproxy/xa/baseline/single/OracleXAEdgeCasesTest.java:[1121,2] reached end of file while parsing",,,
Open-J-Proxy/ojp#196:issue_comment:3698785077,Open-J-Proxy/ojp,196,rrobetti,other_commenter,early,"@copilot lots of compilation errors, attached. [CompilationErrors.txt](https://github.com/user-attachments/files/24379949/CompilationErrors.txt)",True,True,0.182,3,False,False,,"Add comprehensive XA transaction testing plan with baseline-first approach and Phase 1-9 implementation (Oracle/DB2 PASSING, SQL Server DEBUGGING)",rrobetti,@copilot are you sure you pushed your latest fixes?,rrobetti,"@copilot [INFO] ------------------------------------------------------------- Warning: COMPILATION WARNING : [INFO] ------------------------------------------------------------- Warning: system modules path not set in conjunction with -source 11 [INFO] 1 warning [INFO] ------------------------------------------------------------- [INFO] ------------------------------------------------------------- Error: COMPILATION ERROR : [INFO] ------------------------------------------------------------- Error: /home/runner/work/ojp/ojp/ojp-jdbc-driver/src/test/java/org/openjproxy/xa/baseline/single/OracleXAEdgeCasesTest.java:[1121,2] reached end of file while parsing",rrobetti,"@copilot Warning: COMPILATION WARNING : [INFO] ------------------------------------------------------------- Warning: location of system modules is not set in conjunction with -source 11 not setting the location of system modules may lead to class files that cannot run on JDK 11 --release 11 is recommended instead of -source 11 -target 11 because it sets the location of system modules automatically [INFO] 1 warning [INFO] ------------------------------------------------------------- [INFO] ------------------------------------------------------------- Error: COMPILATION ERROR : [INFO] ------------------------------------------------------------- Error: /home/runner/work/ojp/ojp/ojp-jdbc-driver/src/test/java/org/openjproxy/xa/baseline/single/OracleXAEdgeCasesTest.java:[1117,2] reached end of file while parsing",,,
Open-J-Proxy/ojp#196:issue_comment:3698819428,Open-J-Proxy/ojp,196,rrobetti,other_commenter,early,@copilot are you sure you pushed your latest fixes?,True,True,0.398,3,False,False,,"Add comprehensive XA transaction testing plan with baseline-first approach and Phase 1-9 implementation (Oracle/DB2 PASSING, SQL Server DEBUGGING)",rrobetti,"@copilot [INFO] ------------------------------------------------------------- Warning: COMPILATION WARNING : [INFO] ------------------------------------------------------------- Warning: system modules path not set in conjunction with -source 11 [INFO] 1 warning [INFO] ------------------------------------------------------------- [INFO] ------------------------------------------------------------- Error: COMPILATION ERROR : [INFO] ------------------------------------------------------------- Error: /home/runner/work/ojp/ojp/ojp-jdbc-driver/src/test/java/org/openjproxy/xa/baseline/single/OracleXAEdgeCasesTest.java:[1121,2] reached end of file while parsing",rrobetti,"@copilot Warning: COMPILATION WARNING : [INFO] ------------------------------------------------------------- Warning: location of system modules is not set in conjunction with -source 11 not setting the location of system modules may lead to class files that cannot run on JDK 11 --release 11 is recommended instead of -source 11 -target 11 because it sets the location of system modules automatically [INFO] 1 warning [INFO] ------------------------------------------------------------- [INFO] ------------------------------------------------------------- Error: COMPILATION ERROR : [INFO] ------------------------------------------------------------- Error: /home/runner/work/ojp/ojp/ojp-jdbc-driver/src/test/java/org/openjproxy/xa/baseline/single/OracleXAEdgeCasesTest.java:[1117,2] reached end of file while parsing",rrobetti,"@copilot [INFO] ------------------------------------------------------------- Error: COMPILATION ERROR : [INFO] ------------------------------------------------------------- Error: /home/runner/work/ojp/ojp/ojp-jdbc-driver/src/test/java/org/openjproxy/xa/baseline/single/DB2XABasicTest.java:[35,66] cannot find symbol symbol: class SQLException location: class org.openjproxy.xa.baseline.single.DB2XABasicTest [INFO] 1 error",,,
