mention_uid,uptake_label,uptake_secondary_label,uptake_confidence,uptake_rationale
Hexagon/hemulator#214:issue_comment:3702990881,positive_uptake,continued_delegation,1.0,
Alan-Jowett/CoPilot-For-Consensus#665:issue_comment:3702938715,positive_uptake,,0.9,
githubnext/gh-aw#8355:issue_comment:3702943097,positive_uptake,,high,
Hack23/cia#8153:issue_comment:3702206053,positive_uptake,,0.9,
Alan-Jowett/CoPilot-For-Consensus#657:issue_comment:3702868830,positive_uptake,continued_delegation,0.9,
Xenthio/UITest#30:issue_comment:3703183002,positive_uptake,,1.0,
fritz-net/AoE2-Civbuilder#189:issue_comment:3702972213,corrective_critique,negative_uptake,0.8,
Xenthio/UITest#30:issue_comment:3703077359,positive_uptake,continued_delegation,0.8,
Hack23/cia#8153:issue_comment:3702483423,positive_uptake,,1,
lorenzogm/opticasuarez#331:issue_comment:3703027062,positive_uptake,,0.9,
ivviiviivvi/.github#148:issue_comment:3703231678,positive_uptake,,0.9,
Xenthio/UITest#30:issue_comment:3703180743,corrective_critique,positive_uptake,0.8,
daisytuner/sdfglib#423:issue_comment:3709508009,positive_uptake,,1.0,
andersaamodt/wizardry#771:issue_comment:3703035544,positive_uptake,continued_delegation,0.8,
Hexagon/hemulator#214:issue_comment:3704275587,positive_uptake,continued_delegation,0.8,
heyns1000/omnigrid#31:issue_comment:3702977122,positive_uptake,,0.95,
sbryden/Scalar.Game#9:issue_comment:3702989789,positive_uptake,,high,
heyns1000/omnigrid#31:issue_comment:3702955528,positive_uptake,continued_delegation,0.8,
julienstroheker/AzHexGate#28:review:3621582353,corrective_critique,,1,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702777168,corrective_critique,,0.9,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702744959,positive_uptake,,0.9,
machi0x/Memoiz#12:issue_comment:3702996801,positive_uptake,continued_delegation,0.9,
githubnext/gh-aw#8362:issue_comment:3702988912,positive_uptake,,0.9,
goataka/attendance-kit#7:issue_comment:3701410473,positive_uptake,,1.0,
Tbearden10/cheapraidbanners#28:issue_comment:3702965411,no_clear_uptake,no_clear_uptake,0.8,
dotnet/runtime#122791:review_comment:2655527598,positive_uptake,,high,
mgradwohl/tasksmack#303:issue_comment:3703172176,positive_uptake,continued_delegation,0.8,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702778467,corrective_critique,corrective,0.8,
julienstroheker/AzHexGate#28:issue_comment:3703214032,corrective_critique,continued_delegation,0.8,
julienstroheker/AzHexGate#28:issue_comment:3703218866,corrective_critique,negative_uptake,0.9,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702700055,positive_uptake,continued_delegation,0.8,
julienstroheker/AzHexGate#28:issue_comment:3703242226,corrective_critique,negative,1.0,
JosunLP/api-faker#2:issue_comment:3703056116,positive_uptake,,1.0,
goataka/attendance-kit#7:review_comment:2655066531,positive_uptake,continued_delegation,0.8,
karlokarate/FishIT-Player#543:issue_comment:3702928416,positive_uptake,continued_delegation,0.9,
MohamadKhaledAbbas/BreadBagCounterSystem#68:issue_comment:3702989184,positive_uptake,corrective_critique,0.8,
Hack23/blacktrigram#1056:issue_comment:3702996201,positive_uptake,acceptance,0.9,
karlokarate/FishIT-Player#543:issue_comment:3702946302,corrective_critique,,0.8,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3703154118,positive_uptake,,0.9,
vinnieboy707/Hydra-termux#12:issue_comment:3702945379,positive_uptake,,0.95,
machi0x/Memoiz#12:issue_comment:3703071182,positive_uptake,,1,
mgradwohl/tasksmack#303:issue_comment:3703536064,corrective_critique,,1.0,
jrupp/bricklayouts#42:review_comment:2656001611,positive_uptake,acceptance,1.0,
trabalhefabricio/iconic-fl-pluginsorter#6:issue_comment:3703056089,positive_uptake,continued_delegation,1.0,
jonarasgames/AniVerse#51:issue_comment:3703036199,positive_uptake,,1,
mgradwohl/tasksmack#303:review_comment:2656188704,continued_delegation,,0.8,
MohamadKhaledAbbas/BreadBagCounterSystem#68:issue_comment:3702928284,corrective_critique,continued_delegation,0.8,
